id;es;en
Q116546;Terramar;Earthsea series
Q1000165;Crónicas de la prehistoria;Chronicles of Ancient Darkness
Q1027525;Left Behind;Left Behind
Q1050442;Ikebukuro West Gate Park;Ikebukuro West Gate Park
Q109258543;Buta no Liver wa Kanetsu Shiro;Heat the Pig Liver
Q109258665;Tensei Ōjo to Tensai Reijō no Mahō Kakumei;The Magical Revolution of the Reincarnated Princess and the Genius Young Lady
Q109258837;Ishura;Ishura
Q109297684;Isekai Shōkan wa Nidome Desu;Summoned to Another World... Again?
Q109357576;Higeki no Genkyō to Naru Saikyō Gedō Last Boss Joō wa Tami no Tame ni Tsukushimasu;The Most Heretical Last Boss Queen
Q109512224;Zombie no Afureta Sekai de Ore Dake ga Osowarenai;In a World Full of Zombies I'm the Only One Who Doesn't Get Attacked
Q109512237;Watashi ga Koibito ni Nareru Wake Naijan, Muri Muri! Muri Janakatta!?;There's No Freaking Way I'll be Your Lover! Unless...
Q109512255;Watashi no Shiawase na Kekkon;My Happy Marriage
Q109941545;Yowai 5000-nen no Sōshoku Dragon, Iwarenaki Jaryū Ninte;A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized
Q110130996;Kōkyū no Karasu;Raven of the Inner Palace
Q1051427;Goshūshō-sama Ninomiya-kun;Goshūshō-sama Ninomiya-kun
Q1059747;Gundam Sentinel;Gundam Sentinel
Q1062998;Anexo:Novelas CSI;CSI
Q1067357;El elfo oscuro;The Dark Elf Trilogy
Q1068491;Tara Duncan;Tara Duncan
Q1072082;Vampire Hunter D;Vampire Hunter D
Q1083859;Saint Seiya Gigantomachia;Saint Seiya: Gigantomachia
Q1087664;Chrome Shelled Regios;Chrome Shelled Regios
Q1089186;Academia de Vampiros;Vampire Academy
Q110157755;Sasaki to Pī-chan;Sasaki and Peeps
Q110254736;Tsundere Akuyaku Reijō Rīzerotte to Jikkyō no Endō-kun to Kaisetsu no Kobayashi-san;Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte
Q110291441;Nihon e Yōkoso Elf-san.;Welcome to Japan, Ms. Elf!
Q110635478;Kami wa Game ni Ueteiru;Gods' Games We Play
Q110732263;Mushikaburi-hime;Bibliophile Princess
Q110735879;Saikyō Onmyōji no Isekai Tenseiki;The Reincarnation of the Strongest Exorcist in Another World
Q110941604;Kuro no Shōkanshi;Black Summoner
Q111019395;Nōmin Kanren no Skill Bakka Agetetara Nazeka Tsuyoku Natta;I've Somehow Gotten Stronger When I Improved My Farm-Related Skills
Q111317616;Make Heroine ga Ōsugiru!;Too Many Losing Heroines!
Q1092918;Leatherstocking Tales;Leatherstocking Tales
Q1093358;Crónicas del mundo emergido;Chronicles of the Emerged World trilogy
Q1105832;Maoyū Maō Yūsha;Maoyu
Q1111179;Las novelas de D'Artagnan;D'Artagnan Romances
Q1124453;La Trilogía Nikopol;The Nikopol Trilogy
Q1134354;Los Cinco;The Famous Five
Q1141213;El reino mágico de Landover;Magic Kingdom of Landover
Q1141789;Fate/Zero;Fate/Zero
Q1151115;Banner of the Stars;Banner of the Stars
Q1151546;Happiness!;Happiness!
Q1164801;La casa de la noche;House of Night
Q10279894;Oscuros;Fallen
Q10376289;Aubrey-Maturin;Aubrey-Maturin series
Q10855446;Hitsugi no Chaika;Hitsugi no Chaika
Q10864564;Los Siete Pecados Capitales;The Seven Deadly Sins Series
Q10865644;Rokujyōma no Shinryakusha!?;Invaders of the Rokujouma!?
Q11179499;black bullet;Black Bullet
Q11240494;Rail Wars! Nihon Kokuyū Tetsudō Kōantai;Rail Wars!
Q111633532;Nozomanu Fushi no Bōkensha;The Unwanted Undead Adventurer
Q111719479;Ōsama no Proposal;King's Proposal
Q111742404;Hyōken no Majutsushi ga Sekai wo Suberu;The Iceblade Sorcerer Shall Rule the World
Q111824791;Tensei Shitara Dai Nana Ōji Datta no de, Kimama ni Majutsu o Kiwamemasu;I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability
Q111846496;Level 1 Dakedo Unique Skill de Saikyō Desu;My Unique Skill Makes Me OP Even at Level 1
Q111944809;Demon Lord 2099;Demon Lord 2099
Q112113345;Silent Witch: Chinmoku no Majo no Kakushigoto;Secrets of the Silent Witch
Q112323118;Yūsha Party wo Tsuihou Sareta Beast Tamer, Saikyōshu no Nekomimi Shōjo to Deau;Beast Tamer
Q113119099;Isekai de Mofumofu Nadenade Suru Tameni Ganbattemasu;Fluffy Paradise
Q113127675;Tensei Kizoku Kantei Sukiru de Nariagaru;As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World
Q113159258;Yumemiru Danshi wa Genjitsushugisha;The Dreaming Boy Is a Realist
Q113162301;Kaiko Sareta Ankoku Heishi (30-Dai) no Slow na Second Life;Chillin' in My 30s After Getting Fired from the Demon King's Army
Q113196208;Rōgo ni Sonaete Isekai de 8-Man-Mai no Kinka o Tamemasu;Saving 80,000 Gold in Another World for My Retirement
Q113449842;Tensei Kizoku no Isekai Bōken Roku;Chronicles of an Aristocrat Reborn in Another World
Q113485967;Danjo no Yūjō wa Seiritsu Suru? (Iya, Shinai!!);Danjo no Yūjō wa Seiritsu Suru? (Iya, Shinai!!)
Q113549411;Potion-danomi de Ikinobimasu!;I Shall Survive Using Potions!
Q113557501;Isekai de Cheat Skill o Te ni Shita Ore wa, Genjitsu Sekai o mo Musōsuru - Level Up wa Jinsei o Kaeta;I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too
Q113658474;Konyaku Haki Sareta Reijō wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu;I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness
Q113799939;Jitsu wa Ore, Saikyō deshita?;Am I Actually the Strongest?
Q113861379;Keiken Zumi na Kimi to, Keiken Zero na Ore ga, Otsukiai Suru Hanashi;You Were Experienced, I Was Not: Our Dating Story
Q114397576;Your Forma;Your Forma
Q11241578;Re:Monster;Re:Monster
Q11256093;Haruchika;HaruChika
Q114397595;La arquitectura final;The Final Architecture
Q114785520;Tsuyokute New Saga;New Saga
Q114895912;Bōshoku no Berserk;Berserk of Gluttony
Q114977399;Bōkesha ni Naritai;My Daughter Left the Nest and Returned an S-Rank Adventurer
Q115164715;Saijaku Teimā wa Gomi Hiroi no Tabi wo Hajimemashita.;The Weakest Tamer Began a Journey to Pick Up Trash
Q115496820;Yūsha-kei ni Shosu: Chōbatsu Yūsha 9004-tai Keimu Kiroku;Sentenced to Be a Hero
Q115534797;Sokushi Cheat ga Saikyō Sugite, Isekai no Yatsura ga Marude Aite ni Naranain Desu ga.;My Instant Death Ability Is So Overpowered
Q115824302;Lv2 kara Cheat datta Moto Yūsha Kōho no Mattari Isekai Life;Chillin' in Another World with Level 2 Super Cheat Powers
Q116278236;Isekai Mokushiroku Mynoghra;Apocalypse Bringer Mynoghra
Q116736463;Chikan Sare-sō ni Natteiru S-kyū Bishōjo wo Tasuketara Tonari no Seki no Osananajimidatta;The Girl I Saved on the Train Turned Out to Be My Childhood Friend
Q11256236;Shōshimin;Shōshimin Series
Q11268483;Saredo Tsumibito wa Ryū to Odoru;Saredo Tsumibito wa Ryū to Odoru: Dances with the Dragons
Q11268481;Saredo tsumibito wa ryū to odoru;Saredo Tsumibito wa Ryū to Odoru
Q11269081;Shabake;Shabake
Q11272884;Toaru Hikūshi e no Koiuta;The Pilot's Love Song
Q11282217;Eisen Flügel;Eisen Flügel
Q11284699;Absolute Duo;Absolute Duo
Q11293422;Overlord;Overlord
Q11299801;Clockwork Planet;Clockwork Planet
Q11301677;Gate: Jieitai Kano Chi nite, Kaku Tatakaeri;Gate
Q11302234;Cop Craft;Cop Craft
Q11304514;Sakurada Reset;Sagrada Reset
Q11307958;Sugar Apple Fairy Tale;Sugar Apple Fairy Tale
Q11325839;No Game No Life;No Game No Life
Q11327127;Hundred;Hundred
Q11386436;Ore, Twintail ni Narimasu.;Gonna be the Twin-Tail!!
Q11386437;"Ore ga Ojou-sama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken";Shomin Sample
Q11392504;Rokka: Los Héroes de la flor de los seis pétalos;Rokka no Yūsha
Q11395269;Saenai Heroine no Sodatekata;Saekano
Q11446779;Suikoden Demon Century;Yōseiki Suikoden
Q11448208;Gakusen Toshi Asterisk;The Asterisk War
Q11458275;Tai-Madō Gakuen 35 Shiken Shōtai;Anti-Magic Academy: The 35th Test Platoon
Q11574256;Amagi Brilliant Park;Amagi Brilliant Park
Q11578842;Inō Battle wa Nichijō-kei no Naka de;When Supernatural Battles Became Commonplace
Q11604744;Seirei Tsukai no Bladedance;Bladedance of Elementalers
Q11610940;Seiken Tsukai no World Break;World Break: Aria of Curse for a Holy Swordsman
Q11616160;Okko y los fantasmas;Waka Okami wa Shōgakusei!
Q101231316;Hikari no Ō;The Fire Hunter
Q102036026;Eiyū-Ō, Bu o Kiwameru Tame Tensei-Su: Soshikite, no Minarai Kishi;Reborn to Master the Blade: From Hero-King to Extraordinary Squire
Q102131355;Unnamed Memory;Unnamed Memory
Q102245803;Otome Game Sekai wa Mob ni Kibishii Sekai desu;Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs
Q103822236;Kyōkyoku Shinka Shita Full Dive RPG ga Genjitsu Yorimo Kuso-Ge Dattara;Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!
Q104707659;Shangri-La Frontier;Shangri-La Frontier
Q105104596;Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei;The Fruit of Evolution
Q105163658;Shokei Shōjo no Virgin Road;The Executioner and Her Way of Life
Q105164595;Tensei Kenja no Isekai Life;My Isekai Life
Q105519361;Sekai Saikō no Ansatsusha, Isekai Kizoku ni Tensei Suru;The World's Finest Assassin Gets Reincarnated in a Different World as an Aristocrat
Q105627715;Leadale no Daichi nite;In the Land of Leadale
Q105730994;Omae Gotoki ga Maō ni Kateru to Omō na to Yūsha Party wo Tsuihō Sareta no de, Ōto de Kimama ni Kurashitai;Roll Over and Die
Q105778319;Shijō Saikyō no Daimaō, Murabito A ni Tensei Suru;The Greatest Demon Lord Is Reborn as a Typical Nobody
Q106103753;Rebuild World;Rebuild World
Q106126351;Liar Liar;Liar Liar
Q106126378;Ichioku-nen Button wo Rendashita Ore wa, Kizuitara Saikyou ni Natteita;I Kept Pressing the 100-Million Button and Came Out on Top
Q106126383;Jishō F-Rank no Oniisama ga Game de Hyōka sareru Gakuen no Chōten ni Kunrin suru Sō desu yo?;Jishō F-Rank no Oniisama ga Game de Hyōka sareru Gakuen no Chōten ni Kunrin suru Sō desu yo?
Q106316762;Seiken Gakuin no Makentsukai;The Demon Sword Master of Excalibur Academy
Q106351848;Watashi no Oshi wa Akuyaku Reijō;I'm in Love with the Villainess
Q106351869;Yūjin Kyara no Ore ga Motemakuru Wakenai Daro?;There's No Way a Side Character Like Me Could Be Popular, Right?
Q106575080;Okashi na Tensei;Sweet Reincarnation
Q108478846;Kijin Gentōshō;Sword of the Demon Hunter: Kijin Gentōshō
Q108581756;Shinmai Renkinjutsushi no Tenpo Keiei;Management of Novice Alchemist
Q108671386;Eiyū Kyōshitsu;Classroom for Heroes
Q108686822;Magic Explorer;Magical Explorer
Q108808077;Class no Daikirai na Joshi to Kekkon Suru Koto ni Natta.;I Got Married to the Girl I Hate Most in Class
Q108907301;Akuyaku Reijō Nano de Last Boss wo Katte Mimashita;I'm the Villainess, So I'm Taming the Final Boss
Q109018471;Yūsha, Yamemasu;I'm Quitting Heroing
Q106955945;Hitoribotchi no Isekai Kōryaku;Loner Life in Another World
Q107012119;Loop 7-kaime no Akuyaku Reijō wa, Moto Tekikoku de Jiyū Kimama na Hanayome Seikatsu wo Mankitsu Suru;7th Time Loop
Q107110728;Guild no Uketsuke Jō Desu ga, Zangyō wa Iyananode Boss o Solo Tōbatsu Shiyō to Omoimasu;I May Be a Guild Receptionist, But I'll Solo Any Boss to Clock Out on Time
Q107122248;VTuber nanda ga Haishin Kiriwasuretara Densetsu ni Natteta;VTuber Legend
Q107122312;Tokidoki Bosotto Russia-go de Dereru Tonari no Aalya-san;Alya Sometimes Hides Her Feelings in Russian
Q107144753;Between Earth and Sky (serie de novelas);Between Earth and Sky
Q107377422;Thrawn Ascendancy;Thrawn Ascendancy
Q107402130;Wortenia Senki;Record of Wortenia War
Q107524719;Maō no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dō Medereba ī?;An Archdemon's Dilemma: How to Love Your Elf Bride
Q108106327;Ningen Fushin no Bōkensha-tachi ga Sekai o Sukū Yō Desu;Apparently, Disillusioned Adventurers Will Save the World
Q119534;Shakugan no Shana;Shakugan no Shana
Q128338;Trinity Blood;Trinity Blood
Q129240;La materia oscura;His Dark Materials
Q19319226;Crónicas del Silo;Silo
Q117219754;Akuyaku Reijō Level 99: Watashi wa Ura-Boss desu ga Maō de wa Arimasen;Villainess Level 99
Q117354419;Shinmai Ossan Bōkensha, Saikyō Party ni Shinu Hodo Kitaerarete Muteki ni Naru;The Ossan Newbie Adventurer
Q117894818;Yarinaoshi Reijō wa Ryūtei Heika o Kōryaku-chū;The Do-Over Damsel Conquers the Dragon Emperor
Q119786136;Dekisokonai to Yobareta Moto Eiyū wa, Jikka kara Tsuihōsareta node Suki Katte ni Ikiru Koto ni Shita;The Banished Former Hero Lives as He Pleases
Q120336457;Ore wa Seikan Kokka no Akutoku Ryōshu!;I'm the Evil Lord of an Intergalactic Empire!
Q120336477;Shibō Yūgi de Meshi o Kuu;Playing Death Games to Put Food on the Table
Q120402098;Henjin no Salad Bowl;A Salad Bowl of Eccentrics
Q120412518;"Saikyō no Shienshoku ""Wajutsushi"" dearu Ore wa Sekai Saikyō Clan o Shitagaeru";"The Most Notorious ""Talker"" Runs the World's Greatest Clan"
Q120668515;Koi wa Futago de Warikirenai;Love Is Indivisible by Twins
Q121323774;Rekishi ni Nokoru Akujo ni Naru zo;I'll Become a Villainess Who Goes Down in History
Q122421409;Katainaka no Ossan, Kensei ni Naru: Tada no Inaka no Kenjutsu Shihan Datta noni, Taisei Shita Deshitachi ga Ore o Hōttekurenai Ken;From Old Country Bumpkin to Master Swordsman
Q122940808;Saikyō Tank no Meikyū Kōryaku;The Strongest Tank's Labyrinth Raids
Q123054289;Aru Majo ga Shinu Made;Once Upon a Witch's Death
Q123272327;Kisaki Kyōiku kara Nigetai Watashi;I Want to Escape from Princess Lessons
Q123285137;"Ore wa Subete o ""Parry"" Suru: Gyaku Kanchigai no Sekai Saikyō wa Bōken-sha ni Naritai";I Parry Everything
Q123532160;Nageki no Bōrei wa Intai Shitai;Let This Grieving Soul Retire!
Q123555314;"Meitō ""Isekai no Yu"" Kaitaku-ki";Isekai Onsen Paradise
Q123584709;Isekai Yururi Kikō;A Journey Through Another World
Q124031069;Mob kara Hajimaru Tansaku Eiyūtan;A Nobody's Way Up to an Exploration Hero
Q124323656;Maō-gun Saikyō no Majutsushi wa Ningen Datta;The Strongest Magician in the Demon Lord's Army Was a Human
Q124324014;Botsuraku Yotei no Kizoku dakedo, Hima datta kara Mahō wo Kiwamete Mita;I'm a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic
Q124338944;Omniscient Reader's Viewpoint;Omniscient Reader's Viewpoint
Q130438;The 39 Clues;The 39 Clues
Q180482;Seitokai no Ichizon;Seitokai no Ichizon
Q182099;Xanth;Xanth
Q182548;Date A Live;Date A Live
Q184352;Ore no Kanojo to Osananajimi ga Shuraba Sugiru;Oreshura
Q184667;Si su bandera se rompe;If Her Flag Breaks
Q185012;Mondaiji-tachi ga Isekai Kara Kuru Sō Desu yo?;Problem Children Are Coming from Another World, Aren't They?
Q186314;El pequeño vampiro;The Little Vampire
Q187976;Zero no Tsukaima;The Familiar of Zero
Q1167968;Añoranzas y pesares;Memory, Sorrow, and Thorn
Q124357852;Party kara Tsuihō Sareta Sono Chiyushi, Jitsu wa Saikyō ni Tsuki;The Healer Who Was Banished From His Party, Is, in Fact, the Strongest
Q124798575;Isshun de Chiryō Shiteita no ni Yakutatazu to Tsuihō Sareta Tensai Chiyushi, Yami Healer to Shite Tanoshiku Ikiru;The Brilliant Healer's New Life in the Shadows
Q124852922;Sayonara Ryūsei, Konnichiwa Jinsei;Goodbye, Dragon Life
Q125029807;Teogonia;Teogonia
Q125246055;Yasei no Last Boss ga Arawareta!;A Wild Last Boss Appeared!
Q125565190;Watashi no Hatsukoi wa Hazukashisugite Dare ni mo Ienai;Watashi no Hatsukoi wa Hazukashisugite Dare ni mo Ienai
Q125857116;Izure Saikyō no Renkinjutsu-shi?;Possibly the Greatest Alchemist of All Time
Q126375425;"Hazure Skill ""Kinomi Master""";"Bogus Skill ""Fruitmaster"""
Q126904684;Fugūshoku (Kanteishi) ga Jitsu wa Saikyō Datta;"Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest"
Q127327648;Magic Maker ~Isekai Mahō no Tsukurikata~;Magic Maker
Q128037632;Zutaboro Reijō wa Ane no Moto Konyakusha ni Dekiai Sareru;Betrothed to My Sister's Ex
Q128758403;Tsuihō Sareta Tensei Jū Kishi wa Game Chishiki de Musō Suru;The Exiled Heavy Knight Knows How to Game the System
Q129149843;Arafō Otoko no Isekai Tsūhan;The Daily Life of a Middle-Aged Online Shopper in Another World
Q1179447;Tetralogía;Tetralogy
Q1191206;Maburaho;Maburaho
Q1193072;Sekaiichi Hatsukoi;Sekai-ichi Hatsukoi
Q1193200;Shiki;Shiki
Q1195086;Camelot;The Once and Future King
Q1195326;Log Horizon;Log Horizon
Q129300023;Nazotoki wa Dinner no Ato de;The Dinner Table Detective
Q130234754;A-Rank Party o Ridatsu Shita Ore wa, Moto Oshiego-tachi to Meikyū Shinbu o Mezasu.;I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!
Q130270241;Romelia Senki;Romelia Senki
Q130297478;Mizuzokusei no Mahōtsukai;The Water Magician
Q130305467;Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshō ka;May I Ask for One Final Thing?
Q130341962;Kanpeki Sugite Kawaigeganai to Konyaku Haki Sareta Seijo wa Ringoku ni Urareru;The Too-Perfect Saint
Q130357996;Gorilla no Kami Kara Kago Sareta Reijō wa Ōritsu Kishidan de Kawaiigareru;Gorilla no Kami Kara Kago Sareta Reijō wa Ōritsu Kishidan de Kawaiigareru
Q130471996;The Beginning After the End;The Beginning After the End
Q130553561;Kanchigai no Atelier Meister;The Unaware Atelier Master
Q130581146;Blade & Bastard;Blade & Bastard
Q130600178;Akujiki Reijō to Kyōketsu Kōshaku;Pass the Monster Meat, Milady!
Q130748785;Isekai no Sata wa Shachiku Shidai;The Other World's Books Depend on the Bean Counter
Q1196089;Ulysses Moore;Ulysses Moore
Q1196627;Koizora;Koizora
Q1198151;Preludio a Dune;Prelude to Dune
Q1198588;Odisea espacial;Space Odyssey
Q1200024;No. 6;No. 6
Q1208412;Temerario;Temeraire
Q1210223;Ladies versus Butlers!;Ladies versus Butlers!
Q1211840;Los libros de la magia;The Books of Magic
Q1211900;Las crónicas de Prydain;The Chronicles of Prydain
Q1213040;Crónicas del mago negro;The Black Magician Trilogy
Q1213577;Los cantos de Hyperion;Hyperion Cantos
Q1214341;Ga'Hoole: la leyenda de los guardianes;Guardians of Ga'Hoole
Q1276821;Los héroes del Olimpo;The Heroes of Olympus
Q1309526;Macademi Wasshoi!;Magician's Academy
Q1316315;Inukami!;Inukami!
Q1333063;Crest of the Stars;Crest of the Stars
Q1345379;Kami-sama no Memo-chō;Heaven's Memo Pad
Q1347842;Psychic Detective Yakumo;Psychic Detective Yakumo
Q1367069;Hyakka Ryōran Samurai Girls;Hyakka Ryōran
Q1408715;Pellucidar;Pellucidar
Q1413399;Tytania;Tytania
Q1434404;Mundo del Río;Riverworld
Q1439330;Fantasmas de Gaunt;Gaunt's Ghosts
Q1460253;Trilogía Illuminatus!;The Illuminatus! Trilogy
Q1498450;Serie Misterio;The Five Find-Outers
Q1501254;Serie marciana;Barsoom
Q1518080;Fingerling;Pinkeltje
Q1531632;Lark Rise to Candleford;Lark Rise to Candleford
Q1555385;Trilogía de Thrawn;Thrawn trilogy
Q1563466;Trixie Belden;Trixie Belden
Q1564644;Serie de la Fundación;Foundation series
Q1616715;Kika Superbruja;Lilli the Witch
Q1617849;High School DxD;High School DxD
Q1708452;La trilogía Josephus;The Josephus Trilogy
Q1735824;The Weathering Continent;The Weathering Continent
Q1768890;The Princess Diaries;The Princess Diaries
Q1780164;Poldark;The Poldark Novels
Q1782122;M*A*S*H;M*A*S*H novels
Q1793032;Kure-nai;Kure-nai
Q1837327;Jinrui wa Suitai Shimashita;Jinrui wa Suitai Shimashita
Q1856030;Crónicas de Thomas Covenant, el Incrédulo;The Chronicles of Thomas Covenant
Q1914251;Maximum Ride;Maximum Ride
Q1921891;La Reina de la Laguna;Dark Reflections trilogy
Q11673809;Mahō Shōjo Ikusei Keikaku;Magical Girl Raising Project
Q11673812;Mahou Sensou;Magical Warfare
Q11679182;Ryūgajō Nanana no Maizōkin;Nanana's Buried Treasure
Q12857071;novelas de Sherlock Holmes;Sherlock Holmes novels
Q13220016;Outbreak Company;Outbreak Company
Q15139083;Las crónicas lunares;The Lunar Chronicles
Q15262674;Detective Esqueleto;Skulduggery Pleasant
Q15912080;Shinmai Maō no Testament;Shinmai Maō no Testament
Q15964658;Southern Reach;Southern Reach Series
Q16254355;Trilogía Insignia;Insignia
Q16257353;Jinsei;Jinsei
Q16325203;Mi lucha;My Struggle
Q16514101;Divergente;Divergent
Q16547557;Los 100;The 100
Q16617718;trilogía Leviathan;Leviathan trilogy
Q16652803;Trilogía berlinesa;Berlin Noir trilogy
Q16671552;Puck;Puck
Q16800824;Lance N' Masques;Lance N' Masques
Q16862645;Shannara;The Sword of Shannara Trilogy
Q17013721;Nejimaki Seirei Senki: Tenkyō no Alderamin;Alderamin on the Sky
Q17066197;The Reckoners;The Reckoners
Q17191388;Adachi to Shimamura;Adachi to Shimamura
Q17213681;Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai;Shimoneta
Q17214390;Unlimited Fafnir;Unlimited Fafnir
Q17218338;Tenshi no 3P!;Tenshi no 3P!
Q17225246;Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru;Beautiful Bones: Sakurako's Investigation
Q17229135;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka?;Is It Wrong to Try to Pick Up Girls in a Dungeon?
Q17352108;Kūsen Madōshi Kōhosei no Kyōkan;Sky Wizards Academy
Q17502190;Seishun Buta Yarō;Rascal Does Not Dream
Q17556362;Absolute Solitude;The Isolator
Q18003139;Imperial Radch;Imperial Radch
Q18153036;Saga Forastera;Outlander series
Q18351554;Magnus Chase y los dioses de Asgard;Magnus Chase and the Gods of Asgard
Q18380271;Trilogía del siglo;The Century Trilogy
Q18393324;Rakudai Kishi no Cavalry;Chivalry of a Failed Knight
Q18417290;Cormoran Strike;Cormoran Strike
Q196214;Kore wa Zombie Desu ka?;Is This a Zombie?
Q199073;Tokyo Ravens;Tokyo Ravens
Q213167;Percy Jackson y los dioses del Olimpo;Percy Jackson & the Olympians
Q213841;Una serie de eventos desafortunados;A Series of Unfortunate Events
Q23001639;Trilogía de Star Wars: Aftermath;Aftermath Trilogy
Q23092030;Roku de Nashi Majutsu Kōshi to Akashic Records;Akashic Records of Bastard Magical Instructor
Q23309230;"Occultic;Nine";"Occultic;Nine"
Q24037335;Yōjo Senki;Saga of Tanya the Evil
Q24063995;Imōto Sae Ireba Ii.;A Sister's All You Need
Q24211279;Goblin Slayer;Goblin Slayer
Q217982;Yahari Ore no Seishun Love Come wa Machigatteiru.;My Youth Romantic Comedy Is Wrong, As I Expected
Q226079;The Vampire Diaries;The Vampire Diaries
Q24247018;Isekai Cheat Magician;Isekai Cheat Magician
Q24686347;El portal de los elfos;The Faerie Wars Chronicles
Q24835550;Arifureta Shokugyō de Sekai Saikyō;Arifureta
Q24837030;En Otro Mundo con Mi Smartphone;In Another World With My Smartphone
Q24840744;Hyakuren no Haō to Seiyaku no Valkyria;The Master of Ragnarok & Blesser of Einherjar
Q24868819;Ryūō no Oshigoto!;Ryūō no Oshigoto!
Q24874162;Yōkoso Jitsuryoku Shijō Shugi no Kyōshitsu e;Classroom of the Elite
Q241416;Majipur;Majipoor series
Q268100;Nacidos de la bruma;Mistborn
Q277021;To Aru Majutsu no Index;A Certain Magical Index
Q280898;La Torre Oscura;The Dark Tower
Q24876879;Kōshaku Reijō no Tashinami;Accomplishments of the Duke's Daughter
Q24887029;Lord El-Melloi II Case Files;Lord El-Melloi II Case Files
Q24969225;Erlendur Sveinsson;Detective Erlendur series
Q25348581;The Raven Boys: La profecía del cuervo;The Raven Cycle
Q25352561;Las pruebas de Apolo;The Trials of Apollo
Q26953892;Ecstas Online;Ecstas Online
Q26978736;Knight's & Magic;Knight's & Magic
Q27536990;Grancrest Senki;Record of Grancrest War
Q27731433;Gamers!;Gamers!
Q282181;José y sus hermanos;Joseph and His Brothers
Q302647;Chūnibyō Demo Koi ga Shitai!;Love, Chunibyo & Other Delusions
Q304061;Kyō Kara Maō!;Kyo Kara Maoh!
Q306886;Abby Lynn;Abby Lynn
Q1978911;Crónicas de Gor;Gor
Q28146831;Kabukibu!;Kabukibu!
Q28417677;Isekai Shokudō;Restaurant to Another World
